,[0-2],[2-4],[4-6],[6-8],[8-10],[10-inf]
N,0.0,0.0,0.0,0.0,0.0,
NNE,0.0,0.0,0.0,0.0,0.0,
NE,0.0,0.04,0.27,0.54,0.2,0.0
ENE,0.07,0.04,0.36,0.4,0.13,0.0
E,0.0,0.22,0.31,0.34,0.2,0.0
ESE,0.02,0.04,0.22,0.25,0.18,0.0
SE,0.07,0.09,0.25,0.16,0.11,0.0
SSE,0.09,0.16,0.11,0.02,0.04,0.0
S,0.04,0.07,0.18,0.11,0.09,0.0
SSW,0.04,0.18,0.6,0.56,0.98,0.0
SW,0.07,0.25,0.36,0.45,0.2,0.0
WSW,0.09,0.22,0.4,0.38,0.31,0.0
W,0.11,0.13,0.72,0.78,0.65,0.0
WNW,0.2,0.0,0.43,0.49,0.58,0.0
NW,0.0,0.0,0.04,0.18,0.11,0.0
NNW,0.0,0.0,0.0,0.0,0.0,
